TIMESTAMP,HEAD_POS_GLB,HEAD_EULER_GLB,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-11-14-56-54-480000,"[-0.11954617500305176, 1.0715205669403076, 0.002487659454345703]","[-7.377303600311279, 6.180546760559082, 2.5069339275360107]","[-0.17702913284301758, 0.6480770111083984, 0.41590046882629395]","[0.5171799659729004, -32.185935974121094, 14.624805450439453]","[-0.04518461227416992, 0.6249980926513672, 0.3962874412536621]","[11.107361793518066, -31.477935791015625, -13.62954330444336]"
2019-11-11-14-56-54-981000,"[-0.11839056015014648, 1.0729354619979858, 0.002362966537475586]","[-6.964322566986084, 5.363318920135498, 2.540785789489746]","[-0.17632460594177246, 0.6462479829788208, 0.41634178161621094]","[0.5486483573913574, -32.11355972290039, 14.445879936218262]","[-0.04478883743286133, 0.6228475570678711, 0.3967585563659668]","[11.167391777038574, -31.229127883911133, -13.800350189208984]"
2019-11-11-14-56-55-481000,"[-0.11803436279296875, 1.0742825269699097, 0.0011036396026611328]","[-7.258176803588867, 4.988309860229492, 2.5974912643432617]","[-0.17683124542236328, 0.6457861661911011, 0.4162609577178955]","[0.5588416457176208, -31.835834503173828, 14.379828453063965]","[-0.045458316802978516, 0.6224076747894287, 0.39685821533203125]","[11.205961227416992, -30.99717903137207, -13.760652542114258]"
2019-11-11-14-56-55-981000,"[-0.11444687843322754, 1.0757254362106323, -0.0007836818695068359]","[-6.785807132720947, 4.303101062774658, 2.363612413406372]","[-0.1757669448852539, 0.645602822303772, 0.41550636291503906]","[0.5524078011512756, -31.92855453491211, 14.501440048217773]","[-0.04454970359802246, 0.6227591037750244, 0.3963465690612793]","[11.16663932800293, -30.857656478881836, -13.763779640197754]"
2019-11-11-14-56-56-482000,"[-0.11469745635986328, 1.0759034156799316, -0.0016145706176757812]","[-6.58621883392334, 4.246795177459717, 2.4208157062530518]","[-0.17524027824401855, 0.6455956697463989, 0.4158182144165039]","[0.4319152534008026, -32.00569534301758, 14.48985481262207]","[-0.04439425468444824, 0.6229177713394165, 0.39679503440856934]","[10.983796119689941, -30.859643936157227, -13.641186714172363]"
2019-11-11-14-56-56-982000,"[-0.11567330360412598, 1.074948787689209, -0.00016570091247558594]","[-6.589792728424072, 4.4500226974487305, 2.3327999114990234]","[-0.1752185821533203, 0.6461745500564575, 0.4150269031524658]","[0.4590606391429901, -32.16815185546875, 14.446784019470215]","[-0.04449343681335449, 0.6231906414031982, 0.39650678634643555]","[11.209033012390137, -31.121713638305664, -14.021357536315918]"
2019-11-11-14-56-57-483000,"[-0.12054991722106934, 1.0750662088394165, -0.0009109973907470703]","[-7.359646320343018, 4.288889408111572, 3.1248347759246826]","[-0.17426371574401855, 0.6447827816009521, 0.4151115417480469]","[0.5954634547233582, -31.73044776916504, 14.354704856872559]","[-0.04403996467590332, 0.6214637756347656, 0.39685750007629395]","[11.240706443786621, -30.694913864135742, -13.796224594116211]"
2019-11-11-14-56-57-984000,"[-0.11970281600952148, 1.0765502452850342, -0.001216888427734375]","[-7.369513511657715, 3.6786842346191406, 3.208303689956665]","[-0.1753554344177246, 0.6459801197052002, 0.41491198539733887]","[0.3515620529651642, -31.954572677612305, 14.277917861938477]","[-0.04558300971984863, 0.6230411529541016, 0.3961808681488037]","[11.227477073669434, -31.143945693969727, -13.781466484069824]"
2019-11-11-14-56-58-485000,"[-0.11617064476013184, 1.0766199827194214, -0.001463174819946289]","[-6.9086480140686035, 3.5723018646240234, 2.577542781829834]","[-0.17512083053588867, 0.6449954509735107, 0.41501808166503906]","[0.3828192949295044, -31.98870849609375, 14.467925071716309]","[-0.045203447341918945, 0.6222703456878662, 0.39679503440856934]","[11.035357475280762, -30.920486450195312, -13.654911041259766]"
2019-11-11-14-56-58-985000,"[-0.11592745780944824, 1.0768600702285767, -0.0017004013061523438]","[-6.753627300262451, 3.430307149887085, 2.5692763328552246]","[-0.17393279075622559, 0.6447824239730835, 0.41461944580078125]","[0.45726144313812256, -31.937776565551758, 14.281124114990234]","[-0.0447688102722168, 0.6221511363983154, 0.3965463638305664]","[10.952746391296387, -30.96917152404785, -13.426614761352539]"
2019-11-11-14-56-59-485000,"[-0.11552691459655762, 1.0770190954208374, -0.0018768310546875]","[-6.75290060043335, 3.3823912143707275, 2.5917928218841553]","[-0.17395830154418945, 0.644883394241333, 0.4141268730163574]","[0.21075689792633057, -32.104087829589844, 14.44661808013916]","[-0.04483962059020996, 0.6224651336669922, 0.3961200714111328]","[11.012967109680176, -31.191123962402344, -13.399089813232422]"
