TIMESTAMP,HEAD_POS_GLB,HEAD_EULER_GLB,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-11-11-03-25-757000,"[-0.11038398742675781, 1.1800122261047363, -0.02247452735900879]","[6.200573921203613, -6.322685718536377, -0.5817468762397766]","[0.16028046607971191, 0.7665823698043823, 0.3496744632720947]","[9.438261032104492, -0.5455273985862732, -13.952662467956543]","[-0.06513094902038574, 0.5058165788650513, 0.4277074337005615]","[8.289901733398438, 6.228338718414307, -56.8741569519043]"
2019-11-11-11-03-25-757000,"[-0.11038398742675781, 1.1800122261047363, -0.02247452735900879]","[6.200573921203613, -6.322685718536377, -0.5817468762397766]","[0.16028046607971191, 0.7665823698043823, 0.3496744632720947]","[9.438261032104492, -0.5455273985862732, -13.952662467956543]","[-0.06513094902038574, 0.5058165788650513, 0.4277074337005615]","[8.289901733398438, 6.228338718414307, -56.8741569519043]"
2019-11-11-11-03-25-758000,"[-0.11038398742675781, 1.1800122261047363, -0.02247452735900879]","[6.200573921203613, -6.322685718536377, -0.5817468762397766]","[0.16028046607971191, 0.7665823698043823, 0.3496744632720947]","[9.438261032104492, -0.5455273985862732, -13.952662467956543]","[-0.06513094902038574, 0.5058165788650513, 0.4277074337005615]","[8.289901733398438, 6.228338718414307, -56.8741569519043]"
2019-11-11-11-03-26-258000,"[-0.11329889297485352, 1.1789476871490479, -0.02697920799255371]","[5.051990032196045, -6.528554439544678, 0.09751905500888824]","[0.1595439910888672, 0.7666778564453125, 0.34697508811950684]","[9.148242950439453, 0.27896246314048767, -15.439830780029297]","[-0.06649184226989746, 0.5069359540939331, 0.4284203052520752]","[8.518413543701172, 6.136929035186768, -57.21240234375]"
2019-11-11-11-03-26-266000,"[-0.1134493350982666, 1.1789746284484863, -0.026987552642822266]","[5.015673637390137, -6.544787406921387, 0.11426053196191788]","[0.1593952178955078, 0.7666857242584229, 0.3467898368835449]","[9.133261680603027, 0.2503204941749573, -15.472325325012207]","[-0.06692981719970703, 0.5069518089294434, 0.4286971092224121]","[8.409506797790527, 6.196021556854248, -56.993690490722656]"
2019-11-11-11-03-26-759000,"[-0.1176443099975586, 1.1793811321258545, -0.026104450225830078]","[3.1777167320251465, -6.871675968170166, 0.9970654845237732]","[0.16286516189575195, 0.7673788070678711, 0.34738731384277344]","[9.580833435058594, 0.6953948140144348, -15.810989379882812]","[-0.06734919548034668, 0.5074665546417236, 0.428844690322876]","[8.499714851379395, 6.1432366371154785, -57.09444808959961]"
2019-11-11-11-03-27-260000,"[-0.11948466300964355, 1.1791198253631592, -0.025760412216186523]","[2.557180404663086, -6.703247547149658, 1.313696265220642]","[0.22681856155395508, 0.8678903579711914, 0.3121638298034668]","[24.204931259155273, -18.06515121459961, -13.192521095275879]","[-0.06706476211547852, 0.5076977014541626, 0.4294557571411133]","[8.588760375976562, 6.179401397705078, -57.233154296875]"
2019-11-11-11-03-27-761000,"[-0.14018797874450684, 1.1860467195510864, -0.028291702270507812]","[-10.39537525177002, -11.398798942565918, 3.927833080291748]","[0.2271590232849121, 0.8607925176620483, 0.31145644187927246]","[21.893497467041016, -16.23033332824707, -17.38292694091797]","[-0.06711411476135254, 0.5076922178268433, 0.4299814701080322]","[8.719305038452148, 6.084225177764893, -57.52861785888672]"
2019-11-11-11-03-28-261000,"[-0.14858627319335938, 1.185307264328003, -0.031288862228393555]","[-12.35248851776123, -11.354719161987305, 5.1437668800354]","[0.23647475242614746, 0.8658726215362549, 0.3078336715698242]","[24.238189697265625, -15.322883605957031, -17.880144119262695]","[-0.0671696662902832, 0.5078697204589844, 0.4292788505554199]","[8.68797492980957, 6.11841344833374, -57.376548767089844]"
2019-11-11-11-03-28-762000,"[-0.14774751663208008, 1.1842995882034302, -0.030860424041748047]","[-11.881612777709961, -10.97178840637207, 5.17470645904541]","[0.23431754112243652, 0.8630905151367188, 0.309337854385376]","[23.93000602722168, -14.48078727722168, -18.2252140045166]","[-0.06848454475402832, 0.5082727670669556, 0.42971372604370117]","[8.491469383239746, 6.223127365112305, -56.98183059692383]"
