TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-08-17-59-35-280000,"[0.43174242973327637, 1.6389689445495605, -0.12163066864013672]","[-16.70030975341797, 2.0420243740081787, -12.998239517211914]","[0.03638625144958496, 1.2339054346084595, 0.2833991050720215]","[16.749208450317383, 6.060122489929199, 22.1524600982666]","[-0.39070773124694824, 1.1889972686767578, 0.3351559638977051]","[-24.47015380859375, -8.77910327911377, 12.679914474487305]"
2019-11-08-17-59-35-281000,"[0.43174242973327637, 1.6389689445495605, -0.12163066864013672]","[-16.70030975341797, 2.0420243740081787, -12.998239517211914]","[0.03638625144958496, 1.2339054346084595, 0.2833991050720215]","[16.749208450317383, 6.060122489929199, 22.1524600982666]","[-0.39070773124694824, 1.1889972686767578, 0.3351559638977051]","[-24.47015380859375, -8.77910327911377, 12.679914474487305]"
2019-11-08-17-59-35-781000,"[0.4353766441345215, 1.636810064315796, -0.12101292610168457]","[-15.779343605041504, 2.5821335315704346, -12.934545516967773]","[0.024271249771118164, 1.2449572086334229, 0.282611608505249]","[17.08123779296875, 4.058813571929932, 20.189516067504883]","[-0.3938112258911133, 1.1898796558380127, 0.3346829414367676]","[-24.609228134155273, -9.298111915588379, 12.8560791015625]"
2019-11-08-17-59-35-835000,"[0.43582749366760254, 1.6369049549102783, -0.12189269065856934]","[-15.604581832885742, 2.6024534702301025, -12.968582153320312]","[0.016710996627807617, 1.2453773021697998, 0.28216123580932617]","[16.67993927001953, 3.722513437271118, 16.208248138427734]","[-0.3925323486328125, 1.1896153688430786, 0.33321571350097656]","[-24.566429138183594, -9.201279640197754, 12.403040885925293]"
2019-11-08-17-59-36-288000,"[0.4333779811859131, 1.6365106105804443, -0.12163949012756348]","[-15.773441314697266, 2.3252995014190674, -12.910486221313477]","[-0.1319262981414795, 1.086726188659668, 0.3036832809448242]","[11.0660400390625, 12.665372848510742, -10.158086776733398]","[-0.38675475120544434, 1.1927664279937744, 0.3223152160644531]","[-23.864547729492188, -10.011845588684082, 12.903437614440918]"
2019-11-08-17-59-36-790000,"[0.4432957172393799, 1.659037709236145, -0.13373780250549316]","[-11.250446319580078, -6.141798496246338, -13.89291763305664]","[-0.0017025470733642578, 1.2212717533111572, 0.19414329528808594]","[16.876501083374023, -7.584118366241455, 14.955724716186523]","[-0.38147974014282227, 1.2041575908660889, 0.3163621425628662]","[-19.240123748779297, -11.375456809997559, 14.818766593933105]"
2019-11-08-17-59-37-290000,"[0.446286678314209, 1.6677165031433105, -0.1580643653869629]","[-8.381279945373535, -14.530984878540039, -13.029192924499512]","[-0.006803274154663086, 1.2212409973144531, 0.20885825157165527]","[18.578271865844727, -4.234825611114502, 4.961002826690674]","[-0.38140296936035156, 1.208331823348999, 0.30988502502441406]","[-19.70242691040039, -13.317831993103027, 15.780022621154785]"
2019-11-08-17-59-37-791000,"[0.42191219329833984, 1.6509215831756592, -0.13516807556152344]","[-13.759345054626465, -7.1037139892578125, -13.706412315368652]","[0.009133577346801758, 1.236860752105713, 0.24633097648620605]","[21.11203384399414, -4.849328517913818, 11.756970405578613]","[-0.40018439292907715, 1.1987003087997437, 0.31972455978393555]","[-24.81329917907715, -11.335149765014648, 13.904458045959473]"
2019-11-08-17-59-38-291000,"[0.34517335891723633, 1.4919357299804688, -0.018156766891479492]","[-11.836647033691406, 11.59786319732666, -28.793472290039062]","[0.017994403839111328, 1.2564218044281006, 0.23490023612976074]","[32.969337463378906, -16.182573318481445, 5.534750461578369]","[-0.38820981979370117, 1.1950230598449707, 0.3083767890930176]","[-23.475378036499023, -11.434337615966797, 13.498510360717773]"
2019-11-08-17-59-38-792000,"[0.3163125514984131, 1.483462929725647, 0.05447840690612793]","[14.326167106628418, 7.556008338928223, -29.541358947753906]","[0.0004329681396484375, 1.2217446565628052, 0.22351861000061035]","[29.851667404174805, -10.027536392211914, 10.865377426147461]","[-0.38028407096862793, 1.1922502517700195, 0.30284976959228516]","[-21.479782104492188, -10.528595924377441, 12.605988502502441]"
2019-11-08-17-59-39-293000,"[0.34073352813720703, 1.471238374710083, 0.03162717819213867]","[7.687887668609619, 10.30654239654541, -28.16888427734375]","[-0.020487070083618164, 1.2479290962219238, 0.25130319595336914]","[24.33647346496582, -11.56674861907959, 12.258699417114258]","[-0.375704288482666, 1.1917517185211182, 0.3090543746948242]","[-21.6384220123291, -10.94369125366211, 11.964202880859375]"
2019-11-08-17-59-39-793000,"[0.35388708114624023, 1.4458459615707397, -0.0012710094451904297]","[8.85767936706543, -1.2334339618682861, -31.24324607849121]","[0.021543502807617188, 1.2461371421813965, 0.2561366558074951]","[38.013427734375, -9.34999942779541, 7.7754902839660645]","[-0.3876800537109375, 1.191346526145935, 0.3253295421600342]","[-24.03963851928711, -10.587722778320312, 12.03809928894043]"
2019-11-08-17-59-40-293000,"[0.36476755142211914, 1.4386956691741943, -0.006150960922241211]","[14.031237602233887, -1.6965117454528809, -33.3472900390625]","[0.027065277099609375, 1.2331241369247437, 0.26770925521850586]","[38.63981246948242, -7.414273262023926, 9.419726371765137]","[-0.3879702091217041, 1.1887383460998535, 0.33208131790161133]","[-22.928625106811523, -10.087122917175293, 12.121718406677246]"
2019-11-08-17-59-40-351000,"[0.36512088775634766, 1.4372628927230835, -0.00552678108215332]","[13.859922409057617, -0.6995774507522583, -33.0885124206543]","[0.024116992950439453, 1.2334949970245361, 0.2677187919616699]","[39.052120208740234, -7.199481010437012, 8.61159896850586]","[-0.388685941696167, 1.1878635883331299, 0.33258581161499023]","[-23.076702117919922, -9.897673606872559, 11.923784255981445]"
2019-11-08-17-59-40-794000,"[0.3689086437225342, 1.4363770484924316, -0.013750314712524414]","[9.970799446105957, 2.782827377319336, -31.782529830932617]","[0.0024154186248779297, 1.2381242513656616, 0.27292919158935547]","[39.026668548583984, -7.547041416168213, 6.958878517150879]","[-0.39293360710144043, 1.1891050338745117, 0.3360123634338379]","[-23.486722946166992, -10.167304992675781, 12.249910354614258]"
2019-11-08-17-59-40-866000,"[0.36957430839538574, 1.436626672744751, -0.01440119743347168]","[10.142965316772461, 2.230616807937622, -31.49135971069336]","[-0.0018432140350341797, 1.237323522567749, 0.2767982482910156]","[38.41194152832031, -7.362029075622559, 6.231588363647461]","[-0.39290285110473633, 1.1890326738357544, 0.33626270294189453]","[-23.443870544433594, -10.033228874206543, 12.168845176696777]"
2019-11-08-17-59-41-294000,"[0.3778202533721924, 1.4208359718322754, -0.011547088623046875]","[-1.8348307609558105, -12.662870407104492, -10.87950325012207]","[-0.026651620864868164, 1.2230134010314941, 0.28644824028015137]","[32.658206939697266, -5.776947021484375, 5.085023403167725]","[-0.39237022399902344, 1.1900737285614014, 0.3328437805175781]","[-23.081472396850586, -10.426960945129395, 12.83078384399414]"
2019-11-08-17-59-41-794000,"[0.3624393939971924, 1.4138453006744385, -0.030415058135986328]","[-7.6626057624816895, -13.335874557495117, 2.4105708599090576]","[-0.05812954902648926, 1.2339009046554565, 0.2826540470123291]","[20.14888572692871, -7.696231365203857, 8.641707420349121]","[-0.3846275806427002, 1.1921370029449463, 0.3234090805053711]","[-21.98167610168457, -11.6490478515625, 12.522229194641113]"
2019-11-08-17-59-42-295000,"[0.3409557342529297, 1.3998066186904907, -0.058309078216552734]","[-3.2578017711639404, -13.206787109375, -3.090085029602051]","[-0.03517580032348633, 1.2031567096710205, 0.2774648666381836]","[25.45562744140625, 0.3120703101158142, 8.17354679107666]","[-0.38694190979003906, 1.1935336589813232, 0.3235316276550293]","[-22.598114013671875, -11.69613265991211, 12.725293159484863]"
2019-11-08-17-59-42-795000,"[0.37728190422058105, 1.399073839187622, -0.014612674713134766]","[-8.842267990112305, -21.8255615234375, -1.2732651233673096]","[-0.045812368392944336, 1.212952971458435, 0.2844655513763428]","[23.930723190307617, -1.764387607574463, 11.334786415100098]","[-0.38983941078186035, 1.193613886833191, 0.32646751403808594]","[-22.507949829101562, -11.90723705291748, 12.937841415405273]"
2019-11-08-17-59-43-296000,"[0.33158397674560547, 1.4032210111618042, -0.013280868530273438]","[-6.534457206726074, -30.356836318969727, 2.5016708374023438]","[-0.04374217987060547, 1.2111783027648926, 0.28553009033203125]","[25.897579193115234, -1.7911943197250366, 11.636893272399902]","[-0.3921637535095215, 1.194172978401184, 0.32851290702819824]","[-22.446319580078125, -11.997804641723633, 12.88469123840332]"
2019-11-08-17-59-43-797000,"[0.28118157386779785, 1.410254716873169, -0.020320892333984375]","[-4.534477710723877, -40.637229919433594, 0.5788865685462952]","[-0.05357861518859863, 1.2215335369110107, 0.2899928092956543]","[21.814010620117188, -5.69707727432251, 11.046806335449219]","[-0.393115758895874, 1.1938319206237793, 0.3286612033843994]","[-22.709413528442383, -11.959949493408203, 12.79666805267334]"
2019-11-08-17-59-43-995000,"[0.2817559242248535, 1.4090760946273804, -0.015005350112915039]","[-4.556265354156494, -38.08770751953125, 0.6832703351974487]","[-0.0636587142944336, 1.2293797731399536, 0.2971162796020508]","[19.29759407043457, -7.496490478515625, 15.481471061706543]","[-0.3936576843261719, 1.1941733360290527, 0.32984352111816406]","[-22.89600944519043, -11.729280471801758, 12.82253646850586]"
2019-11-08-17-59-44-297000,"[0.28957247734069824, 1.396325945854187, 0.0030951499938964844]","[-3.303450345993042, -16.524219512939453, -3.0493977069854736]","[-0.042217254638671875, 1.1995199918746948, 0.2930774688720703]","[25.76964569091797, 0.9098571538925171, 4.603947162628174]","[-0.39316272735595703, 1.1927478313446045, 0.32841062545776367]","[-22.8188419342041, -11.495924949645996, 12.593501091003418]"
2019-11-08-17-59-44-798000,"[0.2955284118652344, 1.395649790763855, 0.006285429000854492]","[-4.005263805389404, -16.638038635253906, -2.598433017730713]","[-0.0416407585144043, 1.2159123420715332, 0.3006322383880615]","[23.58082389831543, 3.974735975265503, 9.473471641540527]","[-0.3943450450897217, 1.1863270998001099, 0.32989025115966797]","[-23.986543655395508, -10.368999481201172, 12.158470153808594]"
2019-11-08-17-59-45-299000,"[0.29157137870788574, 1.3943214416503906, 0.01219940185546875]","[-4.4847564697265625, -16.572893142700195, -2.64943528175354]","[-0.04720115661621094, 1.228170394897461, 0.3043334484100342]","[19.921466827392578, -1.413272500038147, 13.211319923400879]","[-0.39642810821533203, 1.186789870262146, 0.3331923484802246]","[-23.81208038330078, -10.534014701843262, 12.0368070602417]"
2019-11-08-17-59-45-782000,"[0.2928013801574707, 1.3944830894470215, 0.014670372009277344]","[-4.04308557510376, -17.382253646850586, -3.0709619522094727]","[-0.05925893783569336, 1.2335023880004883, 0.31189560890197754]","[17.397136688232422, -4.555288314819336, 14.189796447753906]","[-0.3946523666381836, 1.1866402626037598, 0.33010435104370117]","[-23.591562271118164, -10.713451385498047, 12.088438987731934]"
2019-11-08-17-59-45-799000,"[0.29258108139038086, 1.3944571018218994, 0.015021324157714844]","[-4.042117118835449, -17.391420364379883, -3.101410150527954]","[-0.059160709381103516, 1.233576774597168, 0.30915069580078125]","[17.590654373168945, -4.5923686027526855, 13.5344820022583]","[-0.39447879791259766, 1.1866469383239746, 0.33011460304260254]","[-23.660146713256836, -10.727374076843262, 12.09229850769043]"
